city,zone,latitude,longitude,year,month,week,temperature,humidity,rainfall,pop_density,previous_incidents
Coimbatore,Mettupalayam,11.29968,76.94244,2025,1,1,34.7,87.0,141.4,11744,10
Coimbatore,Avinashi,11.20233,77.29211,2025,1,1,31.3,72.1,61.8,7596,3
Coimbatore,Thiruppur,11.10319,77.39866,2025,1,1,36.1,74.4,176.3,10296,21
Coimbatore,Palladam,11.005831,77.287908,2025,1,1,33.9,55.4,19.0,2113,32
Coimbatore,Pollachi,10.66167,77.00667,2025,1,1,35.8,46.9,244.9,4834,10
Coimbatore,Udumalaipet,10.581,77.26408,2025,1,1,31.3,67.8,17.8,14892,27
Coimbatore,Valparai,10.32814,76.9558,2025,1,1,35.1,92.1,70.6,5691,20
Coimbatore,Coimbatore North,11.060874,76.947387,2025,1,1,27.0,68.3,43.3,11498,13
Coimbatore,Coimbatore South,10.982548,76.989055,2025,1,1,23.2,66.3,108.0,8043,46
Kanyakumari,Agastheeswaram,8.101711,77.538529,2025,1,1,34.0,73.5,178.3,1189,38
Kanyakumari,Kalkulam,8.18425,77.315512,2025,1,1,30.3,54.2,67.3,1449,0
Kanyakumari,Killiyoor,8.265311,77.217375,2025,1,1,26.8,51.5,162.4,13940,30
Kanyakumari,Thiruvattar,8.33501,77.26515,2025,1,1,26.2,49.6,96.7,4385,34
Kanyakumari,Thovalai,8.231171,77.50597,2025,1,1,25.2,55.6,35.4,11852,1
Kanyakumari,Vilavancode,8.313338,77.206699,2025,1,1,37.8,94.0,250.0,2390,6
Tiruchirapalli,Srirangam,10.854603,78.713548,2025,1,1,36.9,86.7,144.8,9206,31
Tiruchirapalli,Thillai Nagar,10.834443,78.660012,2025,1,1,25.3,55.3,245.8,10670,17
Tiruchirapalli,Tiruchirappalli Fort,10.825416,78.68725,2025,1,1,35.8,67.7,122.2,3743,42
Tiruchirapalli,BHEL Township,10.779601,78.802013,2025,1,1,35.0,53.2,225.6,2242,39
Tiruchirapalli,Puthur,10.816613,78.675481,2025,1,1,23.6,77.5,85.9,5150,31
Tiruchirapalli,K.K. Nagar,10.754823,78.697035,2025,1,1,34.5,83.4,250.5,2945,34
