city,zone,latitude,longitude,year,week,month,temperature,humidity,rainfall,sanitation_score,population_density,dengue_cases,risk_score
Coimbatore,Mettupalayam,11.29968,76.94244,2020,1,1,34.4,48.3,0.8,90.2,11476,34,39.4
Coimbatore,Mettupalayam,11.29968,76.94244,2020,2,1,36.9,40.6,1.0,69.7,2824,35,64.9
Coimbatore,Mettupalayam,11.29968,76.94244,2020,3,1,31.2,40.0,4.7,69.4,1409,29,63.5
Coimbatore,Mettupalayam,11.29968,76.94244,2020,4,1,33.4,40.0,7.7,53.6,13149,24,70.1
Coimbatore,Mettupalayam,11.29968,76.94244,2020,5,1,31.9,40.0,4.7,76.1,5506,28,60.4
Coimbatore,Mettupalayam,11.29968,76.94244,2020,6,2,36.2,41.6,2.9,68.6,5012,28,64.6
Coimbatore,Mettupalayam,11.29968,76.94244,2020,7,2,31.7,44.1,1.9,62.8,4657,31,58.2
Coimbatore,Mettupalayam,11.29968,76.94244,2020,8,2,35.6,41.2,12.7,83.8,3286,31,70.1
Coimbatore,Mettupalayam,11.29968,76.94244,2020,9,2,31.9,40.0,8.8,67.8,13066,18,62.5
Coimbatore,Mettupalayam,11.29968,76.94244,2020,10,3,29.9,40.0,8.1,76.3,2679,20,56.7
Coimbatore,Mettupalayam,11.29968,76.94244,2020,11,3,31.9,47.4,7.4,84.3,12087,26,60.8
Coimbatore,Mettupalayam,11.29968,76.94244,2020,12,3,28.4,40.0,0.3,86.0,13135,18,35.9
Coimbatore,Mettupalayam,11.29968,76.94244,2020,13,3,26.2,49.1,10.9,88.6,9935,20,50.9
Coimbatore,Mettupalayam,11.29968,76.94244,2020,14,4,27.2,51.6,4.1,83.0,2424,21,48.7
Coimbatore,Mettupalayam,11.29968,76.94244,2020,15,4,29.3,40.0,0.1,83.2,10674,13,33.3
Coimbatore,Mettupalayam,11.29968,76.94244,2020,16,4,27.1,55.2,1.4,75.2,7912,20,44.0
Coimbatore,Mettupalayam,11.29968,76.94244,2020,17,4,22.8,48.9,13.3,70.0,1520,11,47.5
Coimbatore,Mettupalayam,11.29968,76.94244,2020,18,4,24.9,56.5,1.0,78.1,1488,15,37.0
Coimbatore,Mettupalayam,11.29968,76.94244,2020,19,5,23.4,54.1,1.3,71.7,2535,13,34.8
Coimbatore,Mettupalayam,11.29968,76.94244,2020,20,5,19.8,46.7,1.3,78.5,4582,7,23.6
Coimbatore,Mettupalayam,11.29968,76.94244,2020,21,5,17.7,61.6,3.7,79.0,4811,7,30.5
Coimbatore,Mettupalayam,11.29968,76.94244,2020,22,5,21.2,64.7,1.8,58.3,9279,4,35.1
Coimbatore,Mettupalayam,11.29968,76.94244,2020,23,6,22.4,66.1,52.2,78.4,10863,13,56.4
Coimbatore,Mettupalayam,11.29968,76.94244,2020,24,6,18.3,63.5,21.3,82.7,1434,16,43.4
Coimbatore,Mettupalayam,11.29968,76.94244,2020,25,6,15.0,74.3,159.9,70.1,10195,13,61.0
Coimbatore,Mettupalayam,11.29968,76.94244,2020,26,6,19.1,77.6,42.0,71.3,4257,11,57.9
Coimbatore,Mettupalayam,11.29968,76.94244,2020,27,7,16.2,70.4,114.4,71.1,12731,9,59.2
Coimbatore,Mettupalayam,11.29968,76.94244,2020,28,7,15.0,79.2,85.3,80.3,11647,13,57.7
Coimbatore,Mettupalayam,11.29968,76.94244,2020,29,7,15.4,79.0,72.3,88.0,12490,19,56.7
Coimbatore,Mettupalayam,11.29968,76.94244,2020,30,7,16.3,84.8,49.4,83.5,9928,24,60.8
Coimbatore,Mettupalayam,11.29968,76.94244,2020,31,7,15.0,88.7,58.9,82.3,7873,23,63.6
Coimbatore,Mettupalayam,11.29968,76.94244,2020,32,8,15.0,74.2,71.8,87.7,4611,28,61.9
Coimbatore,Mettupalayam,11.29968,76.94244,2020,33,8,19.9,78.8,21.8,83.8,8359,29,65.0
Coimbatore,Mettupalayam,11.29968,76.94244,2020,34,8,19.2,82.5,206.9,75.9,10654,32,85.9
Coimbatore,Mettupalayam,11.29968,76.94244,2020,35,8,15.8,74.1,59.3,73.8,5557,29,69.4
Coimbatore,Mettupalayam,11.29968,76.94244,2020,36,9,17.5,82.6,85.3,71.6,14261,31,79.8
